,dt,US1.AAPL,US1.AMZN,US1.BAC,US1.BRK.A,US1.DIS,US1.HD,US1.JNJ,US1.JPM,US1.MA,US1.MSFT,US1.NVDA,US1.PG,US1.UNH,US1.V,US1.XOM
0,20100104,214.18,133.88,15.7,99500.0,32.07,28.67,64.7027,42.86,256.43,30.94,18.49,61.12,31.52,88.14,69.13
1,20100105,214.38,134.65,16.19,99810.0,31.99,28.87,63.94,43.69,256.0,30.95,18.76,61.12,31.47,87.1,69.42
2,20100106,210.94,132.3,16.39,99637.5,31.82,28.78,64.44,43.91,255.5,30.77,18.89,60.83,31.8,85.97,70.04
3,20100107,210.58,130.0,16.928,99989.0,31.86,29.13,63.98,44.78,253.78,30.48,18.51,60.54,33.01,86.8,69.79
4,20100108,211.89,133.54,16.77,100075.0,31.87,28.97,64.21,44.67,253.85,30.63,18.56,60.43,32.69,86.97,69.5
5,20100111,210.07,130.34,16.93,99710.0,31.35,28.15,64.23,44.52,249.67,30.28,18.29,60.23,32.92,86.8,70.31
6,20100112,207.73,127.54,16.35,99400.0,30.83,27.98,64.6,43.48,249.79,30.1,17.67,60.89,32.07,86.34,69.92
7,20100113,210.4,129.12,16.64,99272.0,31.3,28.13,65.03,44.26,256.13,30.35,17.91,61.56,32.53,87.085,69.7
8,20100114,209.42,127.4,16.8,99050.0,31.04,28.29,65.1,44.66,260.46,30.97,17.64,61.57,33.31,87.43,69.64
9,20100115,205.9,127.14,16.2624,97550.0,30.59,28.56,64.5,43.67,262.7,30.85,17.11,60.79,33.75,86.15,69.08
10,20100119,215.04,127.54,16.3,100030.0,31.01,28.88,65.38,43.29,264.76,31.1,17.43,61.73,35.12,87.81,69.27
11,20100120,211.83,125.78,16.4899,104050.0,31.2,28.65,65.13,43.4,263.52,30.58,17.35,60.47,34.57,87.42,68.05
12,20100121,208.24,126.59,15.46,108900.0,30.59,28.46,63.91,40.5,258.9,30.06,17.04,59.77,33.05,84.43,66.63
13,20100122,197.76,121.43,14.891,105000.0,29.96,27.71,63.18,39.16,251.69,28.96,16.48,60.31,33.16,82.67,66.04
14,20100125,202.5,120.37,14.99,103085.0,29.91,27.6,63.23,39.18,252.22,29.29,16.74,60.61,33.0,81.94,65.82
15,20100126,205.89,119.48,14.76,102000.0,29.65,27.73,62.77,38.41,248.7,29.5,16.21,60.64,32.45,81.15,65.88
16,20100127,207.97,122.85,15.2,106810.0,29.31,27.83,63.47,39.29,256.02,29.67,16.64,60.8,33.24,83.89,65.46
17,20100128,199.3,125.66,15.38,110900.0,29.37,27.33,63.81,39.49,249.48,29.16,16.11,61.68,33.44,82.65,64.94
18,20100129,192.12,125.26,15.12,114750.0,29.54,28.01,62.83,38.93,249.77,28.14,15.39,61.51,33.0,81.92,64.28
19,20100201,194.705,118.9,15.41,112950.0,29.53,28.38,63.09,39.68,253.57,28.41,16.58,62.0,33.11,83.66,66.18
20,20100202,195.82,118.1,15.6,112960.01,29.97,29.0,64.0,40.52,252.08,28.48,16.74,62.92,34.04,84.0,66.97
21,20100203,199.22,119.15,15.56,111415.0,30.74,28.46,63.63,40.33,247.153,28.63,16.88,62.63,33.3,83.5,66.58
22,20100204,192.0,115.98,14.76,108737.0,29.67,27.94,62.63,38.38,221.8,27.81,15.88,61.36,32.47,82.81,64.69
23,20100205,195.3,117.39,15.02,110239.0,29.55,28.01,62.65,38.35,220.83,28.01,16.22,61.33,32.54,82.52,64.84
24,20100208,194.01,116.78,14.48,111500.0,29.49,28.57,62.37,37.69,226.34,27.72,16.19,60.98,32.42,83.15,64.36
25,20100209,196.19,118.04,14.47,111590.0,29.87,28.86,62.76,38.42,223.75,28.01,16.07,61.76,32.99,83.36,65.19
26,20100210,195.25,117.37,14.67,111596.0,30.06,28.63,62.74,38.85,226.61,27.99,16.37,61.67,32.71,83.59,64.8
27,20100211,198.72,120.03,14.62,114950.0,30.17,28.99,62.89,39.06,228.89,28.12,17.11,61.99,33.14,85.12,65.27
28,20100212,200.6,119.67,14.51,115810.0,30.11,29.0,62.94,39.06,226.14,27.94,17.36,61.91,32.2,84.92,65.1
29,20100216,203.42,117.56,15.19,113995.0,30.5,29.46,63.61,40.05,225.24,28.34,17.67,62.81,31.65,85.85,66.29
30,20100217,202.54,116.3,15.63,114387.2,30.8701,30.01,64.0,40.0,224.75,28.6,17.86,62.89,32.56,86.42,65.75
31,20100218,203.04,118.08,15.88,114900.0,31.01,30.31,64.54,40.4,221.65,28.97,16.67,63.37,32.66,86.88,65.93
32,20100219,201.64,117.5,15.8575,118110.0,31.24,30.14,63.77,40.0101,222.52,28.77,16.58,63.44,31.91,86.744,65.86
33,20100222,200.44,118.01,16.21,119388.0,31.11,30.32,63.48,40.86,224.06,28.73,16.61,63.43,33.09,86.91,65.4
34,20100223,196.98,117.24,15.9499,118542.0,30.91,30.77,63.33,39.88,222.1,28.34,16.22,63.23,32.79,86.21,64.97
35,20100224,200.55,119.69,16.3349,119488.0,31.4,31.36,63.45,40.85,221.61,28.64,16.55,63.87,33.639,85.59,65.56
36,20100225,202.0,118.19,16.55,119000.0,31.38,31.36,63.32,40.67,221.74,28.6,16.4,63.73,33.47,85.27,65.17
37,20100226,204.64,118.31,16.69,120099.9,31.25,31.18,63.02,41.98,224.61,28.67,16.2,63.29,33.86,85.21,65.03
38,20100301,209.01,124.45,16.72,122835.0,31.52,31.44,63.39,41.82,232.54,29.01,16.86,63.49,34.03,86.8,65.37
39,20100302,208.8,125.52,16.44,121184.99,31.91,31.34,63.41,41.59,231.42,28.45,16.83,63.72,33.94,86.452,65.44
40,20100303,209.33,125.91,16.37,124365.0,31.63,31.5,63.38,41.54,231.61,28.46,16.63,63.53,34.07,86.8,65.44
41,20100304,210.75,128.53,16.39,124056.0,32.59,31.42,63.56,41.9,232.53,28.63,16.66,63.64,32.91,86.95,65.36
42,20100305,219.0,128.85,16.7,125000.0,33.21,31.8,64.07,42.8,239.34,28.59,17.16,63.69,33.76,88.5,66.5
43,20100308,219.03,130.11,16.6911,124124.0,33.18,31.97,64.17,42.56,246.03,28.63,16.93,63.17,33.09,90.66,66.44
44,20100309,223.17,128.82,16.82,123602.0,33.31,31.7,64.27,42.39,246.89,28.8,17.55,63.33,33.07,90.12,66.79
45,20100310,224.84,130.51,17.1,123030.0,33.35,31.72,64.28,42.9,249.25,28.97,17.58,63.03,33.24,91.51,67.23
46,20100311,225.5,133.58,17.1099,123338.0,33.8,32.14,64.21,43.2,249.9,29.17,17.19,63.15,33.49,92.74,67.21
47,20100312,226.62,131.8,16.86,123221.0,33.7,32.45,64.16,43.19,249.57,29.27,17.24,63.32,32.88,93.23,66.76
48,20100315,223.9,131.13,16.86,123200.0,33.7,32.68,64.57,43.1,250.04,29.3,17.16,63.69,32.53,92.36,66.29
49,20100316,224.55,131.77,17.04,123322.0,33.74,32.54,64.51,43.21,249.34,29.37,17.76,63.54,33.07,91.58,66.63
50,20100317,224.07,131.4,17.26,123760.0,33.74,32.51,64.621,43.7999,248.52,29.63,18.1,64.02,32.77,91.38,67.38
51,20100318,224.75,132.69,17.07,123430.0,33.77,32.38,65.07,43.62,246.17,29.61,17.48,63.75,33.57,90.14,67.39
52,20100319,222.21,130.49,16.84,123001.0,33.6,32.36,65.08,43.44,243.81,29.6,17.25,63.82,34.39,88.87,66.92
53,20100322,224.88,130.44,16.94,123498.0,33.94,32.68,65.055,43.69,247.08,29.61,17.53,63.88,33.29,89.21,67.0
54,20100323,228.39,129.25,17.15,123494.0,34.0225,32.62,65.36,44.58,246.01,29.85,17.88,64.49,33.14,89.971,66.92
55,20100324,229.36,128.08,17.58,122090.0,34.39,32.31,64.76,44.95,244.96,29.66,17.31,63.63,32.72,88.83,66.52
56,20100325,226.73,134.73,17.7401,122510.0,35.1,32.62,64.58,44.95,246.54,30.01,17.34,63.6225,33.13,90.44,66.29
57,20100326,230.91,135.03,17.9,121904.0,35.32,32.75,64.38,45.03,246.81,29.66,17.33,63.71,32.64,90.25,66.54
58,20100329,232.45,135.12,18.02,122600.0,35.16,32.62,64.82,44.88,248.08,29.6,17.56,63.73,32.83,90.24,67.31
59,20100330,235.83,136.67,17.75,122425.0,35.09,32.67,64.91,44.61,252.9,29.76,17.63,63.65,33.06,91.0,67.04
60,20100331,234.92,135.79,17.81,121974.0,34.92,32.36,65.21,44.78,253.92,29.26,17.39,63.29,32.67,91.05,66.98
61,20100401,235.97,131.79,18.04,122420.0,35.55,32.37,65.76,45.22,253.94,29.14,17.2,63.36,32.98,92.54,67.6
62,20100405,238.5,131.42,18.13,121650.0,35.21,32.7,65.39,45.34,255.43,29.28,17.49,63.77,33.13,92.46,68.18
63,20100406,239.66,135.5,18.48,121300.0,35.47,32.55,65.31,45.86,258.67,29.33,17.06,63.11,33.41,92.422,67.9
64,20100407,240.54,134.86,18.61,119819.0,35.35,32.6,65.25,45.32,255.79,29.36,17.16,62.5,32.93,90.7687,67.37
65,20100408,239.95,140.74,18.67,119515.0,35.67,32.97,64.95,45.76,256.88,29.91,16.87,62.58,32.63,91.51,67.86
66,20100409,241.88,140.05,18.59,120645.01,36.22,33.24,65.13,45.97,258.88,30.33,16.98,62.75,32.26,92.6,68.77
67,20100412,242.31,141.16,18.64,120696.99,35.88,33.48,65.12,46.12,260.03,30.32,17.2964,62.72,32.24,93.17,68.7101
68,20100413,242.34,140.17,18.67,120685.0,35.83,34.34,65.66,45.87,258.67,30.45,17.65,63.02,32.15,92.78,68.66
69,20100414,245.63,144.1,19.4165,121254.0,36.2,34.98,65.46,47.7,263.05,30.83,17.9,63.205,31.04,94.33,68.59
70,20100415,248.92,145.83,19.5,120181.0,36.41,35.15,65.54,47.81,262.87,30.87,18.01,63.04,30.62,94.42,68.28
71,20100416,247.44,142.24,18.31,118146.0,35.85,34.99,65.05,45.66,259.92,30.67,17.05,62.87,30.74,93.85,67.93
72,20100419,247.08,142.4699,18.39,119270.0,36.17,35.18,66.03,45.37,257.06,31.03,16.98,63.21,31.23,93.08,68.23
73,20100420,244.61,144.3,18.63,119999.0,36.54,35.15,66.0,45.89,261.47,31.35,17.03,63.2,30.97,94.03,68.98
74,20100421,259.24,146.38,18.27,118255.0,36.55,35.27,65.36,45.33,260.43,31.32,16.58,63.6,30.23,93.17,68.89
75,20100422,266.33,150.14,18.53,118082.0,36.78,35.73,64.79,44.79,262.03,31.37,16.66,63.58,30.47,95.11,68.59
76,20100423,270.85,143.63,18.42,118614.0,36.77,36.4,65.02,44.93,267.38,31.0,16.43,63.53,30.96,96.6,69.22
77,20100426,269.5,147.11,18.059,118768.0,37.05,36.47,64.75,43.92,266.22,31.1,16.6,63.91,29.84,96.01,69.26
78,20100427,262.23,142.02,17.45,114995.0,36.31,35.29,64.25,42.4,255.15,30.86,16.14,63.05,29.78,92.95,68.26
79,20100428,261.61,139.32,17.78,115870.0,36.29,35.19,64.65,43.47,253.05,30.9,16.17,63.21,30.45,93.61,69.19
80,20100429,268.6,141.76,18.28,117107.0,37.22,35.57,65.0,44.03,255.37,31.04,16.63,62.2,31.31,92.88,68.66
81,20100430,261.01,137.26,17.79,115600.0,36.81,35.25,64.31,42.54,248.35,30.54,15.73,62.13,30.3,90.25,67.79
82,20100503,266.36,137.48,18.07,117625.0,37.56,35.88,65.31,43.55,250.414,30.86,15.54,62.67,30.27,89.26,67.84
83,20100504,258.66,129.95,17.57,114875.0,36.58,35.41,64.7299,42.54,251.82,30.11,14.75,61.73,29.49,88.37,66.48
84,20100505,256.12,130.93,17.54,115000.0,35.34,35.24,65.13,42.63,238.27,29.85,14.51,62.17,29.97,86.44,66.1599
85,20100506,246.05,128.71,16.26,112060.0,33.97,33.98,63.37,40.7781,231.16,28.98,14.2,60.71,29.2,82.87,63.72
86,20100507,235.82,125.12,16.171,111970.0,33.39,33.43,63.32,40.78,223.506,28.17,13.97,60.28,29.06,82.23,63.7
87,20100510,253.89,131.29,17.31,117290.0,35.3,35.3,64.83,41.97,229.94,28.93,14.57,62.41,29.86,86.0,65.25
88,20100511,256.57,130.46,17.15,116500.0,35.76,35.63,64.66,41.56,223.0,28.87,14.41,62.36,29.84,84.21,64.46
89,20100512,262.08,133.82,17.0601,117000.0,35.12,35.91,64.88,41.71,232.93,29.44,14.68,63.02,30.33,85.66,64.9
90,20100513,258.27,131.47,16.86,115900.0,34.75,35.28,64.65,40.79,232.46,29.24,14.65,62.74,30.19,85.74,64.71
91,20100514,254.0,128.58,16.36,114374.0,34.06,35.2,63.97,39.89,212.04,28.94,12.98,62.56,30.41,77.09,63.66
92,20100517,254.15,129.0,16.37,114505.0,34.2,35.62,63.85,39.86,210.73,28.93,12.99,63.38,30.44,74.7,63.31
93,20100518,252.33,126.28,15.95,113300.0,33.75,34.73,62.96,39.0,203.26,28.62,12.57,63.2,30.15,70.04,62.77
94,20100519,248.31,124.4664,16.34,113700.0,33.39,34.37,62.22,39.36,200.3,28.22,12.76,63.22,29.99,72.9,62.53
95,20100520,237.57,119.5,15.29,108872.0,32.01,32.87,60.6,37.84,205.69,27.11,12.43,61.61,28.96,72.7,60.34
96,20100521,242.33,122.67,15.97,109635.0,32.86,33.02,60.9,40.04,213.85,26.86,12.74,61.87,28.68,74.2599,60.9
97,20100524,246.75,122.12,15.41,106241.0,32.45,33.2101,60.51,38.57,209.95,26.33,12.35,61.39,28.84,74.55,60.21
98,20100525,245.2,124.86,15.52,106195.0,32.32,33.99,60.37,38.93,206.79,26.07,12.7,61.1,28.85,73.05,59.7
99,20100526,244.11,123.27,15.45,105430.0,33.07,34.02,59.66,38.75,205.38,25.01,12.75,60.43,28.78,73.4181,59.31
100,20100527,253.49,126.72,16.19,109980.0,34.3599,34.56,59.0,40.46,207.63,25.95,13.5,60.97,29.31,73.67,61.49
101,20100528,256.99,125.29,15.73,106100.0,33.42,33.86,58.29,39.53,201.53,25.8,13.14,61.05,29.05,72.45,60.46
102,20100601,260.8,123.2,15.415,105215.0,33.31,33.53,58.76,38.57,200.08,25.89,12.57,61.12,28.98,71.47,59.2
103,20100602,263.94,126.31,15.91,108400.0,34.74,33.87,59.7,39.6,201.53,26.43,12.72,61.74,29.93,71.27,60.75
104,20100603,263.3,128.63,15.79,108515.0,34.7,33.41,59.78,39.11,202.24,26.85,12.69,61.8,30.46,72.85,61.55
105,20100604,256.086,122.72,15.33,105025.0,33.71,32.12,58.02,37.73,197.36,25.78,12.09,60.83,30.35,72.16,59.71
106,20100607,250.95,121.92,14.81,105106.0,33.05,31.54,58.02,36.73,199.94,25.31,11.51,60.66,30.48,71.96,59.29
107,20100608,249.38,118.89,15.33,109102.0,33.15,31.82,58.63,37.72,197.63,25.11,11.18,62.14,30.9,73.32,61.19
108,20100609,243.21,117.91,15.02,107766.0,32.97,31.77,58.16,37.12,195.29,24.78,10.9,61.45,30.53,73.722,60.0799
109,20100610,250.74,123.21,15.47,111175.0,34.12,32.72,58.46,38.27,205.44,25.0,11.355,61.94,30.72,77.43,61.89
110,20100611,253.51,123.03,15.61,111569.0,34.25,32.21,58.47,38.08,204.95,25.67,11.6,60.99,30.67,76.09,61.9
111,20100614,254.18,123.87,15.43,112465.0,33.94,32.05,58.41,37.35,204.1,25.49,11.35,61.28,30.56,73.78,61.38
112,20100615,259.8,126.79,15.8,115765.0,35.0,32.24,59.15,38.24,209.55,26.58,11.93,61.92,31.17,76.94,62.5
113,20100616,267.28,126.89,15.86,116230.0,34.8,32.16,59.22,38.5,210.17,26.33,11.78,61.18,31.4,77.19,62.5
114,20100617,271.82,125.88,15.8,118850.0,35.07,31.92,59.18,38.43,214.14,26.37,12.21,61.76,31.49,78.24,62.6
115,20100618,274.07,125.89,15.82,119862.0,35.14,31.94,59.21,39.2,213.88,26.43,12.29,61.23,31.34,77.05,63.1
116,20100621,270.36,122.55,15.79,119725.0,35.06,31.44,59.18,38.87,223.7,25.96,12.01,61.1,31.16,80.88,63.16
117,20100622,273.46,122.36,15.58,119194.0,34.35,30.6,59.17,38.27,220.77,25.78,11.56,60.73,30.63,78.84,61.94
118,20100623,270.98,121.45,15.45,118650.0,34.33,30.49,59.2601,38.87,220.12,25.32,11.68,61.37,30.21,77.85,61.13
119,20100624,268.73,118.32,15.0223,118205.0,33.6,29.67,59.65,38.01,215.06,25.0,11.11,60.89,29.77,76.49,60.07
120,20100625,266.01,121.13,15.48,121401.0,33.5,30.15,58.93,39.51,217.66,24.38,11.08,60.08,29.89,76.64,59.33
121,20100628,268.3,117.76,15.23,121471.0,33.2,29.59,59.43,38.54,211.45,24.3,11.08,60.6,29.16,75.19,58.48
122,20100629,256.29,108.55,14.57,120144.0,32.3,28.65,59.24,37.05,203.25,23.32,10.49,60.33,28.65,71.45,57.31
123,20100630,251.54,109.26,14.36,119540.0,31.47,28.03,59.05,36.6,199.65,23.0,10.21,59.9,28.38,70.79,56.968
124,20100701,248.47,110.96,14.02,118103.0,31.48,27.92,59.04,36.1,202.81,23.18,10.37,59.54,27.86,72.83,56.56
125,20100702,247.0,109.13,13.84,115800.0,31.37,27.75,59.07,35.84,202.56,23.27,10.25,59.37,28.27,73.14,56.54
126,20100706,248.6,110.05,14.07,116155.0,31.75,27.35,59.07,36.37,199.77,23.83,10.13,59.34,28.88,72.33,57.46
127,20100707,258.77,113.45,14.71,119813.0,33.13,28.02,60.61,38.15,207.3,24.31,10.63,60.83,29.2,74.84,58.43
128,20100708,258.0,116.15,14.86,119034.0,33.35,28.15,61.34,38.16,209.74,24.42,10.3,61.96,29.69,75.11,58.76
129,20100709,259.7,117.26,15.09,119635.0,33.75,28.27,60.55,38.89,215.12,24.27,10.35,61.74,29.98,77.34,58.78
130,20100712,257.299,119.5,15.21,119135.0,33.78,28.31,60.22,39.19,213.8,24.83,10.54,62.09,30.06,76.56,58.94
131,20100713,252.11,123.7,15.67,119785.0,34.45,28.63,60.5,40.49,214.42,25.12,10.93,62.4,30.13,76.6,59.41
132,20100714,252.84,123.3,15.68,119020.0,34.24,28.29,60.64,40.33,213.22,25.45,11.03,62.7,30.34,76.27,59.3
133,20100715,251.3,122.0,15.39,119603.0,34.04,28.36,60.24,40.45,211.68,25.52,10.72,62.71,30.86,75.26,59.28
134,20100716,249.86,118.42,14.0,115720.0,33.01,27.1,59.45,38.97,197.56,24.91,10.04,61.99,30.34,71.49,57.97
135,20100719,245.64,119.99,13.6,116141.0,33.31,27.07,59.58,39.07,195.6,25.24,10.46,61.9,30.83,71.24,58.47
136,20100720,252.07,120.1,13.77,117350.0,33.4,27.94,58.63,39.63,205.3,25.47,10.73,62.09,30.83,73.57,58.97
137,20100721,254.25,117.45,13.3687,114887.0,32.81,27.48,57.1,38.43,201.75,25.11,10.36,61.11,30.7,72.38,58.17
138,20100722,259.29,120.18,13.65,117400.0,33.58,28.22,56.99,39.32,208.11,25.88,10.54,61.35,30.99,74.48,59.33
139,20100723,260.05,118.88,13.74,118014.0,34.12,28.26,57.6,39.82,212.81,25.8,10.36,61.93,30.93,75.56,59.7
140,20100726,259.27,118.4,14.14,118001.0,34.38,28.99,57.72,40.32,212.87,26.11,10.56,62.53,31.45,76.04,60.41
141,20100727,264.09,117.09,14.19,117700.0,34.28,28.59,58.11,40.67,214.4,26.16,10.47,63.07,30.77,76.59,60.8
142,20100728,260.98,117.18,14.01,116615.0,34.03,28.09,57.81,40.33,210.4,25.95,10.12,62.71,30.31,75.179,60.91
143,20100729,258.11,116.85,14.02,116906.0,33.71,28.0301,57.81,40.21,208.37,26.0399,9.13,61.67,30.42,71.95,60.33
144,20100730,257.29,117.89,14.049,117160.0,33.68,28.51,58.07,40.28,209.46,25.8,9.18,61.15,30.46,73.31,59.69
145,20100802,261.77,120.13,14.44,119875.0,34.48,29.12,58.75,41.64,202.25,26.32,9.16,62.05,31.44,72.22,61.91
146,20100803,261.92,122.31,14.34,119704.0,34.21,28.46,59.35,41.07,200.81,26.13,8.93,59.93,32.42,73.0,62.6181
147,20100804,262.94,127.55,14.2,121191.0,34.85,28.72,59.77,41.33,205.27,25.73,9.32,59.56,32.92,72.45,62.73
148,20100805,261.7,127.82,14.02,121240.0,34.98,28.7,59.8,41.29,201.44,25.37,9.43,59.88,33.42,71.45,62.71
149,20100806,260.15,128.29,13.95,120600.0,34.99,28.68,59.96,40.43,207.57,25.56,9.55,60.02,33.44,72.151,62.0
150,20100809,261.8,128.83,13.89,121039.0,35.16,28.69,60.09,39.82,214.9,25.61,9.63,60.39,33.48,74.75,62.44
151,20100810,259.4,130.0,13.64,119589.0,35.3,28.25,59.47,39.21,216.27,25.03,9.25,60.8,33.33,75.26,61.99
152,20100811,250.07,125.89,13.18,116311.0,34.24,27.72,58.5499,37.79,209.84,24.84,8.88,60.29,31.99,73.54,60.45
153,20100812,251.79,126.55,13.07,115531.0,33.98,27.6,58.51,37.81,211.88,24.51,8.96,60.0,32.12,72.98,60.22
154,20100813,249.1,124.69,13.24,115180.0,33.66,27.32,58.17,37.51,210.86,24.4,9.38,59.85,32.04,72.24,59.92
155,20100816,247.67,126.1,13.2,115265.0,33.65,27.39,58.01,37.68,210.59,24.5,9.15,59.75,31.91,72.87,59.84
156,20100817,252.12,128.88,13.21,116215.0,33.75,28.32,59.23,37.48,214.17,24.71,9.26,60.3,32.35,73.36,60.82
157,20100818,253.07,129.65,13.33,118245.0,33.915,28.87,59.3301,37.9,212.97,24.86,9.32,60.77,32.52,72.84,60.18
158,20100819,249.83,127.57,13.02,116305.0,33.17,28.2,58.71,37.08,208.92,24.44,9.89,60.2,31.8,71.64,59.29
159,20100820,249.66,127.76,12.88,116700.0,33.06,28.16,58.729,37.14,206.55,24.23,9.98,59.97,31.58,70.05,58.89
160,20100823,245.8,126.6,12.87,115890.0,32.92,27.82,58.86,36.84,205.2,24.28,9.83,60.02,31.5,70.14,59.5
161,20100824,240.25,124.53,12.64,114828.0,32.14,27.79,58.01,36.24,202.84,24.06,9.73,59.69,31.04,70.66,58.89
162,20100825,242.89,126.84,12.66,115091.0,32.11,28.33,57.96,36.27,206.15,24.1,9.93,59.69,31.96,70.82,58.9
163,20100826,240.29,124.86,12.49,114350.0,31.96,28.38,57.84,35.66,203.18,23.81,9.8,59.6,31.88,69.97,58.55
164,20100827,241.59,126.64,12.63,118100.0,32.79,28.75,57.64,36.62,206.54,23.93,10.11,59.7899,32.38,71.11,59.86
165,20100830,242.51,123.69,12.29,116855.0,32.32,27.98,57.26,35.88,202.43,23.64,9.65,59.35,31.88,69.54,58.97
166,20100831,243.37,124.84,12.46,118090.0,32.56,27.81,57.05,36.36,198.37,23.48,9.33,59.64,31.72,68.95,59.13
167,20100901,250.27,132.47,13.21,121480.0,33.52,28.67,58.3,37.79,200.99,23.92,9.4,59.79,32.6,70.51,60.9
168,20100902,252.17,135.2,13.28,121870.0,33.93,29.41,58.61,38.16,204.63,23.92,9.58,60.06,32.88,71.96,61.03
169,20100903,258.77,138.8,13.5,122300.0,34.7,29.85,58.98,39.15,206.69,24.305,9.9,60.29,33.9001,72.49,61.34
170,20100907,257.95,137.23,13.21,121150.0,33.84,29.33,58.68,38.25,200.17,23.96,9.98,60.14,33.79,71.47,60.57
171,20100908,262.91,139.13,13.34,122502.0,33.85,29.44,58.88,39.1,194.55,23.92,10.32,60.38,33.85,68.53,60.78
172,20100909,263.07,140.38,13.5,123309.0,34.09,29.42,59.82,40.1,191.98,24.01,10.19,60.33,34.03,66.76,61.01
173,20100910,263.4,142.44,13.55,123977.0,34.16,29.69,60.0,39.78,198.22,23.85,10.12,60.44,34.51,68.17,61.24
174,20100913,267.3,145.07,13.96,124997.5,34.27,29.99,60.33,41.12,192.83,25.08,10.6525,60.4601,34.73,65.47,60.99
175,20100914,268.04,145.75,13.6825,124643.0,34.06,29.97,60.57,40.72,199.56,25.03,10.54,60.63,34.61,67.12,61.0
176,20100915,270.23,145.46,13.72,125143.0,34.22,29.95,61.07,41.01,210.2501,25.11,10.56,61.12,34.28,68.94,61.01
177,20100916,276.57,148.2,13.585,125210.01,34.18,29.96,61.3,40.99,210.35,25.32,10.56,61.11,34.25,68.36,60.99
178,20100917,275.46,148.35,13.4,124725.0,34.56,29.89,61.52,40.06,213.52,25.22,10.56,60.91,34.14,68.45,60.76
179,20100920,283.54,151.32,13.75,125348.0,34.89,30.65,62.07,41.18,218.42,25.43,10.71,61.41,34.93,70.29,61.55
180,20100921,284.15,150.73,13.66,124624.0,34.5,30.91,61.96,40.6,217.32,25.15,11.28,61.55,35.26,69.94,61.6
181,20100922,287.74,151.84,13.44,123626.0,33.99,30.89,61.98,39.95,219.03,24.61,11.4175,61.81,35.68,70.61,61.44
182,20100923,288.92,152.86,13.14,121946.0,33.11,30.85,61.79,39.15,219.48,24.43,11.62,61.24,35.5,70.95,61.18
183,20100924,292.48,160.81,13.595,124850.0,33.57,31.64,62.17,39.75,221.11,24.77,12.27,61.64,35.71,72.28,61.75
184,20100927,291.02,159.37,13.25,124177.0,33.3,31.62,62.05,39.07,222.69,24.72,12.0,61.07,35.37,73.05,61.77
185,20100928,286.85,159.67,13.2775,124638.0,33.21,31.81,62.42,38.95,222.93,24.68,11.98,60.63,35.04,73.26,62.07
186,20100929,287.34,158.99,13.11,123617.0,33.0,31.79,62.29,38.4075,222.7,24.48,11.87,60.25,35.2,74.4,61.59
187,20100930,283.75,157.05,13.11,123906.0,33.1,31.69,61.94,38.06,224.19,24.48,11.69,59.95,35.11,74.17,61.79
188,20101001,282.52,153.71,13.3,123950.0,33.3425,31.83,61.73,38.78,224.51,24.38,11.35,60.15,35.41,73.27,62.54
189,20101004,278.6,155.34,13.16,123167.0,33.14,31.68,61.64,38.96,222.51,23.91,11.23,59.99,34.54,73.2,62.21
190,20101005,289.44,160.87,13.57,125216.0,33.85,31.75,62.79,39.62,225.67,24.37,11.32,60.76,35.06,74.99,63.23
191,20101006,288.96,155.4,13.37,125210.0,33.71,31.73,63.18,39.86,223.15,24.43,10.78,60.85,33.96,74.19,63.91
192,20101007,289.1,156.31,13.31,124866.0,33.92,31.74,63.22,39.49,220.94,24.53,10.7,60.78,34.32,73.65,63.85
193,20101008,294.11,155.52,13.18,124750.0,34.53,31.88,63.2,39.31,222.34,24.55,10.86,61.87,34.34,74.011,64.34
194,20101011,295.36,153.02,13.14,124330.01,34.58,31.79,63.29,39.75,222.75,24.58,10.8,62.17,34.65,74.3,64.56
195,20101012,298.74,156.48,13.52,124952.99,34.49,31.42,63.3,40.38,221.93,24.83,11.03,61.98,35.02,74.28,64.6701
196,20101013,300.08,155.18,13.29,125382.0,34.92,30.98,63.59,39.85,231.01,25.31,11.34,62.64,35.28,76.94,65.03
197,20101014,302.27,155.5498,12.57,125337.0,34.84,30.8,63.73,38.7101,232.85,25.23,11.17,62.79,35.8,77.22,65.3
198,20101015,314.97,164.71,11.981,125100.0,34.8901,30.7,63.54,37.16,233.8,25.54,11.29,62.788,35.99,77.61,65.2
199,20101018,317.92,163.57,12.339,125150.0,34.73,30.51,63.86,38.2,235.65,25.81,11.36,63.36,36.24,78.35,66.26
200,20101019,309.65,158.67,11.8,123488.0,34.24,30.42,63.31,37.71,237.19,25.08,11.29,63.18,35.31,77.58,65.17
201,20101020,310.53,158.66,11.74,124379.0,34.61,30.74,63.57,38.09,240.39,25.3,11.29,63.34,36.74,79.51,66.0
202,20101021,309.385,164.97,11.37,124479.0,34.67,31.82,63.96,37.68,243.2,25.4,11.09,63.49,36.47,79.15,66.32
203,20101022,307.88,169.14,11.44,124910.0,34.99,31.48,63.8,37.72,242.5,25.39,11.79,63.4,37.26,79.29,66.3099
204,20101025,308.83,168.96,11.16,124972.0,35.46,31.4,63.99,37.08,245.49,25.19,11.91,63.55,37.56,80.65,66.22
205,20101026,308.06,169.95,11.31,123370.0,35.97,31.3,63.82,37.18,243.52,25.91,11.87,62.88,37.57,80.04,66.52
